group,tail,info,model,N,breach,breach_pass,gate_pass,q_loss,fz_loss,severity
Benchmark,Downside,Lagged opening-gap losses,CARE expectile asymmetric slope,627,0.07815,False,False,0.00144,-3.621661,0.007879
Benchmark,Downside,Lagged opening-gap losses,CARE expectile SAV,620,0.067742,True,True,0.001456,-3.607506,0.008946
Benchmark,Downside,Lagged opening-gap losses,CAViaR asymmetric slope,508,0.070866,True,True,0.001564,-3.532426,0.00941
Benchmark,Downside,Lagged opening-gap losses,CAViaR SAV,498,0.058233,True,True,0.001568,-3.54007,0.011676
Benchmark,Downside,Lagged opening-gap losses,EWMA volatility scaling,722,0.052632,True,True,0.001409,-3.647462,0.008636
Benchmark,Downside,Lagged opening-gap losses,GARCH-t,722,0.060942,True,True,0.001368,-3.701083,0.008609
Benchmark,Downside,Lagged opening-gap losses,GAS-t location-scale,722,0.063712,True,True,0.001352,-3.693506,0.00867
Benchmark,Downside,Lagged opening-gap losses,GAS-t POT-GPD,223,0.044843,True,False,0.001277,-3.789288,0.006754
Benchmark,Downside,Lagged opening-gap losses,GJR-GARCH-EVT,722,0.060942,True,True,0.00133,-3.746233,0.007631
Benchmark,Downside,Lagged opening-gap losses,GJR-GARCH-t,722,0.070637,True,True,0.001338,-3.723459,0.007359
Benchmark,Downside,Lagged opening-gap losses,Historical quantile,722,0.055402,True,True,0.001476,-3.540661,0.01214
Benchmark,Downside,Lagged opening-gap losses,Rolling quantile,722,0.058172,True,True,0.001481,-3.524684,0.011683
Benchmark,Upside,Lagged opening-gap losses,CARE expectile asymmetric slope,679,0.079529,False,False,0.001327,-3.531389,0.00867
Benchmark,Upside,Lagged opening-gap losses,CARE expectile SAV,679,0.08542,False,False,0.001372,-3.474738,0.008198
Benchmark,Upside,Lagged opening-gap losses,CAViaR asymmetric slope,504,0.06746,True,True,0.001494,-3.466189,0.01072
Benchmark,Upside,Lagged opening-gap losses,CAViaR SAV,504,0.063492,True,True,0.001558,-3.407822,0.011629
Benchmark,Upside,Lagged opening-gap losses,EWMA volatility scaling,722,0.045706,True,True,0.001342,-3.656615,0.009787
Benchmark,Upside,Lagged opening-gap losses,GARCH-t,722,0.041551,True,True,0.001278,-3.703374,0.010888
Benchmark,Upside,Lagged opening-gap losses,GAS-t location-scale,722,0.049861,True,True,0.001307,-3.668339,0.010514
Benchmark,Upside,Lagged opening-gap losses,GAS-t POT-GPD,223,0.085202,False,False,0.001785,-3.033734,0.012794
Benchmark,Upside,Lagged opening-gap losses,GJR-GARCH-EVT,722,0.058172,True,True,0.001233,-3.708574,0.008988
Benchmark,Upside,Lagged opening-gap losses,GJR-GARCH-t,722,0.042936,True,True,0.001222,-3.739711,0.010272
Benchmark,Upside,Lagged opening-gap losses,Historical quantile,722,0.069252,True,True,0.001502,-3.406776,0.012003
Benchmark,Upside,Lagged opening-gap losses,Rolling quantile,722,0.072022,True,True,0.001496,-3.427318,0.01148
LightGBM,Downside,A: Japan only,LightGBM direct quantile,554,0.079422,False,False,0.001404,-3.475021,0.00894
LightGBM,Downside,B: +U.S.-close core,LightGBM direct quantile,554,0.108303,False,False,0.00115,-3.678881,0.006263
LightGBM,Downside,C: +Japan proxy,LightGBM direct quantile,527,0.117647,False,False,0.001114,-3.868878,0.005511
LightGBM,Downside,D: +Asia proxy,LightGBM direct quantile,527,0.117647,False,False,0.001119,-3.807595,0.005581
LightGBM,Downside,A: Japan only,LightGBM empirical location-scale,508,0.05315,True,True,0.001487,-3.554176,0.009866
LightGBM,Downside,B: +U.S.-close core,LightGBM empirical location-scale,506,0.061265,True,True,0.000988,-4.050495,0.005722
