group,tail,info,model,N,breach,breach_pass,gate_pass,q_loss,fz_loss,severity
LGBM,Left,JP + US close core + JP proxy + Asia proxy,LGBM median/MAD POT-GPD UniBM block-maxima shape,473,0.07611,False,False,0.001012,-4.153909,0.006521
LGBM,Left,JP only,LGBM POT-GPD plain MLE,484,0.06405,True,True,0.001553,-3.46639,0.008741
LGBM,Left,JP + US close core,LGBM POT-GPD plain MLE,483,0.070393,True,True,0.00102,-4.129963,0.005521
LGBM,Left,JP + US close core + JP proxy,LGBM POT-GPD plain MLE,472,0.050847,True,True,0.000941,-4.274489,0.005877
LGBM,Left,JP + US close core + JP proxy + Asia proxy,LGBM POT-GPD plain MLE,469,0.044776,True,True,0.000934,-4.218722,0.006926
LGBM,Left,JP only,LGBM POT-GPD UniBM block-maxima shape,484,0.061983,True,True,0.001552,-3.470659,0.008986
LGBM,Left,JP + US close core,LGBM POT-GPD UniBM block-maxima shape,484,0.070248,True,True,0.001025,-4.109492,0.005719
LGBM,Left,JP + US close core + JP proxy,LGBM POT-GPD UniBM block-maxima shape,472,0.055085,True,True,0.00094,-4.286679,0.005645
LGBM,Left,JP + US close core + JP proxy + Asia proxy,LGBM POT-GPD UniBM block-maxima shape,469,0.049041,True,True,0.000934,-4.257927,0.006381
LGBM,Right,JP only,LGBM direct quantile,554,0.086643,False,False,0.001272,-3.565956,0.007723
LGBM,Right,JP + US close core,LGBM direct quantile,554,0.106498,False,False,0.001213,-3.550057,0.007115
LGBM,Right,JP + US close core + JP proxy,LGBM direct quantile,527,0.12334,False,False,0.001215,-3.568934,0.006113
LGBM,Right,JP + US close core + JP proxy + Asia proxy,LGBM direct quantile,527,0.12334,False,False,0.001206,-3.585569,0.006019
LGBM,Right,JP only,LGBM location-scale empirical,508,0.045276,True,True,0.001391,-3.537918,0.009275
LGBM,Right,JP + US close core,LGBM location-scale empirical,504,0.065476,True,True,0.001129,-3.887065,0.007667
LGBM,Right,JP + US close core + JP proxy,LGBM location-scale empirical,493,0.052738,True,True,0.001069,-3.931922,0.00786
LGBM,Right,JP + US close core + JP proxy + Asia proxy,LGBM location-scale empirical,490,0.067347,True,True,0.001145,-3.854755,0.007311
LGBM,Right,JP only,LGBM median/IQR POT-GPD plain MLE,554,0.028881,True,True,0.001221,-3.784145,0.011012
LGBM,Right,JP + US close core,LGBM median/IQR POT-GPD plain MLE,554,0.061372,True,True,0.001066,-3.909708,0.006284
LGBM,Right,JP + US close core + JP proxy,LGBM median/IQR POT-GPD plain MLE,527,0.051233,True,True,0.000996,-3.99853,0.006714
LGBM,Right,JP + US close core + JP proxy + Asia proxy,LGBM median/IQR POT-GPD plain MLE,527,0.041746,True,True,0.000987,-3.988434,0.007746
LGBM,Right,JP only,LGBM median/IQR POT-GPD UniBM block-maxima shape,554,0.030686,True,True,0.001209,-3.785644,0.010966
LGBM,Right,JP + US close core,LGBM median/IQR POT-GPD UniBM block-maxima shape,554,0.059567,True,True,0.001066,-3.906854,0.006599
LGBM,Right,JP + US close core + JP proxy,LGBM median/IQR POT-GPD UniBM block-maxima shape,527,0.049336,True,True,0.000993,-3.997073,0.006969
LGBM,Right,JP + US close core + JP proxy + Asia proxy,LGBM median/IQR POT-GPD UniBM block-maxima shape,527,0.041746,True,True,0.000987,-3.988054,0.007892
LGBM,Right,JP only,LGBM median/MAD POT-GPD plain MLE,484,0.049587,True,True,0.001311,-3.618657,0.00993
LGBM,Right,JP + US close core,LGBM median/MAD POT-GPD plain MLE,482,0.072614,True,True,0.001118,-3.950165,0.007656
LGBM,Right,JP + US close core + JP proxy,LGBM median/MAD POT-GPD plain MLE,474,0.078059,False,False,0.00108,-4.043194,0.006928
LGBM,Right,JP + US close core + JP proxy + Asia proxy,LGBM median/MAD POT-GPD plain MLE,473,0.069767,True,True,0.00108,-4.059134,0.007756
LGBM,Right,JP only,LGBM median/MAD POT-GPD UniBM block-maxima shape,484,0.055785,True,True,0.001312,-3.630731,0.009338
LGBM,Right,JP + US close core,LGBM median/MAD POT-GPD UniBM block-maxima shape,483,0.074534,True,True,0.001116,-4.027728,0.007563
